parameter,initial_beta0,published,reproduced,std_error
r,0.958,0.393,0.4118912850625291,0.08049410924549334
K,9648.885,27523156.818,119702068495.32785,9.641984134699282e+16
k,1.576,94.315,99.95829325941855,19.31330079938376
d,9.706,696.65,721.877561205619,109.94881351817051
