no,year,month,day,date,t,lady,para,spid,hover,lace,N,P,m,e,u,v,delta,region
29,1999,5,13,May.13,43,4.0,87.0,1.0,2.0,0.0,479.0,5.975,1.0,0.1793594832986942,-7849000763865811.0,-2.67651493194132e+23,-6.369284766880524e+37,II
30,1999,5,18,May.18,48,6.0,35.0,3.0,1.0,2.0,126.0,8.541666666666666,1.0,-3.6340631825597876,-19135630311411.973,3.221901166200506e+19,-7.44472031295644e+33,II
31,2000,4,6,Apr.6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.10043635973645572,-2.503187073207258e+16,1.5243618622843676e+24,1.0947586830217265e+40,I
32,2000,4,11,Apr.11,11,1.0,0.0,1.0,0.0,0.0,12.0,1.25,1.0,-0.6948577605129443,-522989869807706.25,4.603498759538124e+21,4.5572350580975483e+36,I
33,2000,4,16,Apr.16,16,1.0,0.0,0.0,0.0,0.0,71.0,1.0,1.0,-0.3525372734586831,-2031744799007506.8,3.5249409744315886e+22,6.998245780211009e+37,I
34,2000,4,21,Apr.21,21,2.0,1.0,1.0,0.0,1.0,499.0,2.7583333333333333,1.0,0.19218837495663796,-6836203507168799.0,-2.1755576084898614e+23,6.322052787014856e+38,III
35,2000,4,26,Apr.26,26,3.0,2.0,2.0,3.0,1.0,1084.0,5.516666666666667,1.0,0.8259047984074841,-370137844270363.6,-2.740901008757422e+21,2.3234081154518527e+35,III
36,2000,5,1,May.1,31,3.0,5.0,0.0,2.0,1.0,129.0,4.541666666666667,0.5,1.183252818748634,-180300952057681.62,-9.318481254883918e+20,-8.225245159398451e+35,II
37,2000,5,6,May.6,36,4.0,3.0,0.0,1.0,1.0,780.0,5.025,1.0,1.55098577683225,-104947247621614.23,-4.138135388994483e+20,4.826782165129975e+34,III
38,2000,5,11,May.11,41,1.0,14.0,1.0,0.0,1.0,410.0,1.8666666666666667,1.0,1.5742685565264802,-101878889992325.5,-3.9579875949313104e+20,1.625999056472835e+35,III
39,2000,5,16,May.16,46,0.0,43.0,0.0,4.0,3.0,770.0,3.8583333333333334,1.0,1.4946758835166094,-113009683316503.03,-4.6240402435443596e+20,1.2458550821964867e+35,III
40,2000,5,21,May.21,51,2.0,77.0,0.0,6.0,4.0,2370.0,7.641666666666667,1.0,1.8986874285502893,-70016987324930.52,-2.255034724508917e+20,-6.27635857670902e+34,II
41,2000,5,26,May.26,56,5.0,255.0,1.0,8.0,8.0,5870.0,15.375,1.0,1.8326712744524014,-75125238053759.1,-2.50626407770582e+20,-5.9325543437181745e+35,II
42,2001,4,2,Apr.2,2,0.0,0.0,1.0,0.0,0.0,39.0,0.25,1.0,-0.5817703503406707,-746059936219398.1,7.843478185958065e+21,9.706722997036824e+36,I
43,2001,4,8,Apr.8,8,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,-0.17658612866652404,-8097707089335614.0,2.8047309620078356e+23,1.1456604228207277e+39,I
44,2001,4,14,Apr.14,14,2.0,0.0,1.0,0.0,0.0,137.0,2.25,1.0,-0.8995811646629707,-312045209802095.5,2.1216531983009613e+21,1.4457073087085698e+36,I
45,2001,4,19,Apr.19,19,3.0,1.0,2.0,1.0,1.0,430.0,4.508333333333334,1.0,-0.34517132500076714,-2119451550296543.5,3.7556347914689842e+22,3.1157992274108488e+37,I
46,2001,4,25,Apr.25,25,1.0,5.0,0.0,2.0,0.0,615.0,2.0416666666666665,0.5,-0.009165547550621484,-3.0057913474379556e+18,2.0057941415155118e+27,7.976700583363659e+43,I
47,2001,4,29,Apr.29,29,2.0,3.0,0.0,3.0,1.0,607.0,4.025,1.0,-0.389617852611864,-1663471454950300.2,2.6113864306496603e+22,2.5109117574562614e+37,I
48,2001,5,4,May.4,34,7.0,13.0,1.0,2.0,1.0,857.0,8.858333333333333,1.0,0.3166517089149997,-2518138973749814.0,-4.8637098105621755e+22,-1.4714073055554949e+38,II
49,2001,5,7,May.7,37,5.0,44.0,0.0,4.0,2.0,1005.0,8.366666666666667,1.0,0.8334843919230832,-363413504502943.3,-2.6665498273765466e+21,-2.4850854296645532e+36,II
50,2001,5,10,May.10,40,2.0,89.0,0.0,4.0,3.0,1381.0,6.241666666666667,1.0,1.079541023787054,-216630886622501.94,-1.2272376734732743e+21,-1.2781929671126758e+35,II
51,2001,5,13,May.13,43,4.0,144.0,1.0,2.0,5.0,2086.0,8.95,1.0,1.0974296362348295,-209609165264055.75,-1.168055584302981e+21,-1.0568711341001617e+36,II
52,2001,5,16,May.16,46,3.0,210.0,0.0,5.0,4.0,2958.0,9.25,1.0,0.9755078203377439,-265284087469025.06,-1.6630867703461086e+21,-1.8920449582719674e+36,II
53,2001,5,20,May.20,50,7.0,322.0,0.0,3.0,3.0,2829.0,12.683333333333334,1.0,0.8599789924541744,-341330909808419.94,-2.4272333497709704e+21,-7.680968812711142e+36,II
54,2001,5,23,May.23,53,4.0,492.0,2.0,6.0,1.0,1838.0,12.1,1.0,1.1647804598336362,-186048828050327.5,-9.767614357129695e+20,-2.0227079753276193e+36,II
55,2001,5,26,May.26,56,3.0,132.0,0.0,3.0,4.0,634.0,7.6,1.0,1.3104577480587853,-146999557791887.3,-6.859968972703749e+20,-2.6949996919028044e+35,II
56,2002,4,5,Apr.5,5,3.0,4.0,0.0,1.0,0.0,548.0,3.533333333333333,1.0,0.5832854266316678,-742146372269119.2,-7.781843056142853e+21,6.058811485935416e+36,III
57,2002,4,10,Apr.10,10,1.0,92.0,1.0,6.0,0.0,1212.0,5.016666666666667,1.0,0.06353790585863626,-6.254690431340114e+16,-6.020836628624141e+24,1.7316505680436095e+40,III
58,2002,4,16,Apr.16,16,2.0,220.0,0.0,12.0,2.0,1997.0,10.833333333333334,1.0,0.07986293485471813,-3.958903117038665e+16,-3.031868941651003e+24,-6.796209889883087e+40,II
59,2002,4,21,Apr.21,21,1.0,312.0,1.0,33.0,0.0,2033.0,20.35,1.0,0.6684929961195708,-564841942657370.8,-5.167000477292727e+21,-6.29273253120629e+37,II
60,2002,4,27,Apr.27,27,3.0,439.0,3.0,59.0,4.0,7480.0,38.90833333333333,1.0,0.5429270952761311,-856154518797233.9,-9.642203537353585e+21,-5.6258919303737325e+38,II
61,2002,5,3,May.3,33,0.0,55.0,0.0,2.0,2.0,105.0,2.4583333333333335,0.5,-0.34517132500076714,-2119459364173849.5,3.755655560147693e+22,2.2197324452027537e+37,I
62,2002,5,10,May.10,40,2.0,3.0,0.0,0.0,1.0,149.0,2.525,1.0,0.359297515403014,-1955944375056664.0,-3.3295294729939124e+22,5.419847950020038e+37,III
